Yeah	UH	intj	O
we	PRP	nsubj	O
're	VBP	ROOT	O
out	IN	prep	O
of	IN	prep	O
time	NN	pobj	O
/.	.	punct	O

The	DT	det	O
man	NN	nsubj	O
is	VBZ	ROOT	O
my	PRP$	poss	O
hero	NN	attr	O
/.	.	punct	O

The	DT	det	O
most	RBS	advmod	O
common	JJ	amod	O
use	NN	nsubj	O
of	IN	prep	O
spying	VBG	amod	O
devices	NNS	pobj	O
is	VBZ	ccomp	O
in	IN	prep	O
divorce	NN	compound	O
cases	NNS	pobj	O
,	,	punct	O
say	VBP	ROOT	O
private	JJ	amod	O
investigators	NNS	nsubj	O
.	.	punct	O

At	IN	prep	O
last	JJ	pcomp	O
,	,	punct	O
despite	IN	prep	O
Simon	NNP	poss	B-PERSON
's	POS	case	O
holy	JJ	amod	O
strength	NN	pobj	O
,	,	punct	O
and	CC	cc	O
for	IN	conj	O
reasons	NNS	pobj	O
not	RB	neg	O
entirely	RB	advmod	O
clear	JJ	amod	O
,	,	punct	O
the	DT	det	O
Devil	NNP	nsubj	O
is	VBZ	ROOT	O
able	JJ	acomp	O
to	TO	aux	O
exert	VB	xcomp	O
her	PRP$	poss	O
full	JJ	amod	O
power	NN	dobj	O
and	CC	cc	O
whisk	VB	conj	O
him	PRP	dobj	O
away	RB	advmod	O
to	IN	prep	O
hell	NNP	pobj	O
--	:	punct	O
a	DT	det	O
Greenwich	NNP	compound	B-LOC
village	NN	compound	I-LOC
disco	NN	appos	O
where	WRB	advmod	O
trendies	NNS	nsubj	O
writhe	VBP	relcl	O
and	CC	cc	O
grind	VBP	conj	O
to	IN	prep	O
``	``	punct	O
The	DT	det	B-WORK_OF_ART
Radioactive	NNP	compound	I-WORK_OF_ART
Flesh	NNP	pobj	I-WORK_OF_ART
.	.	punct	O
''	''	punct	O

I	PRP	nsubj	O
mean	VBP	parataxis	O
that	DT	nsubj	O
pissed	VBD	ROOT	O
me	PRP	dobj	O
off	IN	prep	O
the	DT	det	O
last	JJ	amod	O
time	NN	pobj	O
they	PRP	nsubj	O
were	VBD	relcl	O
here	RB	advmod	O

One	CD	nummod	B-CARDINAL
day	NN	npadvmod	O
I	PRP	nsubjpass	O
'll	MD	aux	O
be	VB	auxpass	O
gone	VBN	ROOT	O
,	,	punct	O
and	CC	cc	O
you	PRP	nsubj	O
'll	MD	aux	O
have	VB	conj	O
to	TO	aux	O
do	VB	xcomp	O
this	DT	dobj	O
all	RB	advmod	O
by	IN	prep	O
yourselves	NNS	pobj	O
.	.	punct	O
